type,status,subjects,number,title,date_enacted,term_id,raw_author_text,pdf_url,filename,id,session_id,absent_ids,clean_author_ids
resolution,active,,2020-38,"Resolution Approving and Adopting the Resolution No. 2020-002 Dated February 3, 2020 of Barangay Malinta, ?resolution Interposing No Objection to the Construction, Installation, Operation and Maintenance of a Telecommunications Cell Site and Its Appurtences of Globe Telecommunication Inc. (?GLOBE?) at the Property of Euleterio Gibas, Located at Silangan St., Purok 2 Brgy. Malinta, Los Baños, Laguna. (AUTHOR: HON. GERONIMO A. CICERON, 02/07/2020)",2020-02-07,sb_10,"Hon. Geronimo A. Ciceron, 02/07/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-38  .pdf,Resolution No. 2020-38  .pdf,resolution_sb_10_2020-38,sb_10_2020-02-07,"concio-dexter-a,delos-santos-arlene-p,dizon-mark-lester-b,kalaw-antonio-l",
resolution,active,,2020-39,"Resolution Approving and Adopting Municipal Development Council Resolution No. 2020-01 Dated February 4,2020 Entitled ?resolution Adopting the Executive Legislative Agenda (ELA) 2020-2022 of the Municipality of Los Baños and Favorably Endorsing the Same to the Honorable Sangguniang Bayan of Los Baños for Approval.? (AUTHOR: HON. JANOS S. LAPIZ, 02/07/2020)",2020-02-07,sb_10,"Hon. Janos S. Lapiz, 02/07/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-39  .pdf,Resolution No. 2020-39  .pdf,resolution_sb_10_2020-39,sb_10_2020-02-07,"concio-dexter-a,delos-santos-arlene-p,dizon-mark-lester-b,kalaw-antonio-l",
resolution,active,,2020-40,"Resolution Authorizing the Municipal Mayor, Honorable Caesar P. Perez to Enter Into a Memorandum of Agreement MOA) for and in Behalf of the Local Government Unit of Los Baños with National Food Authority (NFA) for the Purchase of Rice to Be Used During Emergency Situations for Relief Distribution / Stockpiling / Prepositioning As Part of the Town?s Disaster Preparedness and Other Needs of Their Various Projects and Activities and Ratifying the Same Thereafter. (author: Hon. Janos S. Lapiz, 02/0",2020-02-07,sb_10,,https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-40  .pdf,Resolution No. 2020-40  .pdf,resolution_sb_10_2020-40,sb_10_2020-02-07,"concio-dexter-a,delos-santos-arlene-p,dizon-mark-lester-b,kalaw-antonio-l",
resolution,active,,2020-41,"Resolution Granting the Municipal Government of Los Baños (MGLB) As ?bc Alternate Site? for Government Service Insurance System (GSIS) to Assure Its Customers of a Continuing Service During Cases of Disasters As Part of Disaster Preparedness and Risk Management Business Continuity Plan. (AUTHOR: HON. JANOS S. LAPIZ, 02/07/2020)",2020-02-07,sb_10,"Hon. Janos S. Lapiz, 02/07/2020",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-41  .pdf,Resolution No. 2020-41  .pdf,resolution_sb_10_2020-41,sb_10_2020-02-07,"concio-dexter-a,delos-santos-arlene-p,dizon-mark-lester-b,kalaw-antonio-l",
resolution,active,,2020-42,"Resolution Commending and Congratulating the Honorable Vice Mayor Antonio L. Kalaw for Finishing His Master?s Degree in Development Management and Governance at the College of Continuing, Advanced and Professional Studies in the University of Makati. (AUTHOR(S): Councilor(s) Josephine S. Evangelista, Miko C. Pelegrina, Janos S. Lapiz, Geronimo A. Ciceron, Marlo Pj A. Alipon, Mark Lester B. Dizon, and Cris Dayril B. Bagnes, 02/07/2020)",2020-02-07,sb_10,,https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-42  .pdf,Resolution No. 2020-42  .pdf,resolution_sb_10_2020-42,sb_10_2020-02-07,"concio-dexter-a,delos-santos-arlene-p,dizon-mark-lester-b,kalaw-antonio-l",
resolution,active,,2020-28,"Resolution Approving the Renewal of Accreditation of Batong Malake Public Market Los Baños Tricycle Operators Drivers Association (BMPMLBTODA), Inc. with Office Address at Brgy. Batong Malake, Los Baños, Laguna. (AUTHOR: HON. JANOS S. LAPIZ, 01/31/20)",2020-01-31,sb_10,"Hon. Janos S. Lapiz, 01/31/20",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-28 .pdf,Resolution No. 2020-28 .pdf,resolution_sb_10_2020-28,sb_10_2020-01-31,"lapiz-janos-s,lapiz-janos-s,dizon-mark-lester-b,delos-santos-arlene-p",lapiz-janos-s
resolution,active,,2020-29,"Resolution Approving the Renewal of Accreditation of Jp Umali Maahas Palengke San Antonio Sta.rita Tricycle Operators and Drivers Association, Inc. (JUMPSSTODA) with Office Address at Brgy. San Antonio, Los Baños, Laguna. (AUTHOR: HON. JANOS S. LAPIZ, 01/31/20)",2020-01-31,sb_10,"Hon. Janos S. Lapiz, 01/31/20",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-29.pdf,Resolution No. 2020-29.pdf,resolution_sb_10_2020-29,sb_10_2020-01-31,"lapiz-janos-s,dizon-mark-lester-b,delos-santos-arlene-p",lapiz-janos-s
resolution,active,,2020-30,"Resolution Requesting the Honorable Provincial Legal Counsel, Atty. Rodel Paderayon, to Assist the Sangguniang Bayan of Los Baños, for Appropriate Legal Action for the Removal From Office of SK Chairperson Vinz Carlo D. Pombo of Barangay Bambang, Los Baños, Laguna. (AUTHOR: HON. JANOS S. LAPIZ, 01/31/20)",2020-01-31,sb_10,"Hon. Janos S. Lapiz, 01/31/20",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-30 .pdf,Resolution No. 2020-30 .pdf,resolution_sb_10_2020-30,sb_10_2020-01-31,"lapiz-janos-s,dizon-mark-lester-b,delos-santos-arlene-p",
resolution,active,,2020-31,"Resolution Authorizing Honorable Mayor Caesar P. Perez to Enter Into Contract for the Services of Professionals and Consultants with Corresponding Monthly Compensation of the Following : Consultant on Environment and Natural Resources Program (P17,000.00); Consultant on Nutrition Program (P10,000.00); Consultant on Sports Development Program (P7,000.00); Consultant on Peace and Order Program (P10,000.00); and Architect Consultant for the Construction of the Poblacion Public Market and Construc",2020-01-31,sb_10,,https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-31 .pdf,Resolution No. 2020-31 .pdf,resolution_sb_10_2020-31,sb_10_2020-01-31,"lapiz-janos-s,dizon-mark-lester-b,delos-santos-arlene-p",
resolution,active,,2020-32,"Resolution Approving the Accreditation of Negros Women for Tomorrow Foundation (A MICROFINANCE NGO) with Office Address at Brgy. San Antonio, Los Baños, Laguna. (AUTHOR: HON. JANOS S. LAPIZ, 01/31/20)",2020-01-31,sb_10,"Hon. Janos S. Lapiz, 01/31/20",https://losbanos.gov.ph/public/storage/municipal_resolution/Resolution No. 2020-32 .pdf,Resolution No. 2020-32 .pdf,resolution_sb_10_2020-32,sb_10_2020-01-31,"lapiz-janos-s,dizon-mark-lester-b,delos-santos-arlene-p",lapiz-janos-s
